profile_rank,date,model_id,capability_score,profile_stability_score,profile_performance_score,confidence_score,routing_readiness_score,health_score,cost_performance_score,instruction_following_score,structured_output_score,reasoning_score,tool_call_score,dominant_capability,weakest_capability,task_coverage_score,sample_sufficiency_score,freshness_score,evaluator_consistency_score,capability_run_count,capability_task_count,latest_capability_run_at,diagnosis_type,diagnosis_severity,switch_recommendation,recommended_role,routing_action,recommended_action
1,2026-07-21,Minimax-M2.5,96.5417,70.9213,82.999,97.3152,86.2026,88.911,87.3952,97.7778,97.7778,95.1389,95.5556,instruction_following,reasoning,100.0,100.0,100.0,82.1014,2880,4,2026-07-21 18:00:01,environment_latency_gap,low,暂不切换,主路由候选,可作为主路由，按场景能力维度分配权重,检查请求长度、并发、区域网络和平台排队，不直接归因于模型
2,2026-07-21,DeepSeek-V4,94.0486,80.074,80.2807,96.4397,85.7386,85.4881,83.6832,95.1389,92.5,95.2778,92.7778,reasoning,structured_output,100.0,100.0,100.0,76.2646,2880,4,2026-07-21 18:00:01,capability_or_probe_issue,medium,谨慎降权,主路由候选,限制弱能力场景流量，复测确认后再调整全局权重,复跑失败任务并核对评测器；确认能力回退后限制相关场景流量
3,2026-07-21,Qwen3.6-35B-A3B,93.5903,39.7834,79.2941,96.4385,78.039,83.1868,87.5109,97.7778,94.8611,91.8056,89.4444,instruction_following,tool_call,100.0,100.0,100.0,76.2564,2880,4,2026-07-21 18:00:01,platform_or_traffic_issue,medium,暂不切换,辅助路由候选,作为辅助路由或特定能力场景候选,检查网关、区域网络、队列和异常客户流量，再决定是否调整模型
