health_rank,date,model_id,health_score,health_level,success_score,performance_score,stability_score,cost_efficiency_score,cost_performance_score,quality_score,request_count,total_tokens,estimated_cost,success_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,latency_cv,cost_per_request,cost_per_1k_tokens,cost_trend_ratio,cost_baseline_ready,observed_hours
1,2026-07-21,Minimax-M2.5,88.911,优秀,100.0,82.782,63.468,83.4664,87.3952,96.5625,107,70539,0.1693,99.0654,1045.0,1698.8,2330.38,0.235,0.0016,0.0024,0.9381,True,22
2,2026-07-21,DeepSeek-V4,85.4881,优秀,95.4216,80.3928,82.6136,79.2944,83.6832,93.9236,2422,1670377,2.0045,94.4674,6619.5,9458.8,10809.9,0.0851,0.0008,0.0012,1.0126,True,24
3,2026-07-21,Qwen3.6-35B-A3B,83.1868,健康,91.3901,76.9137,15.468,84.956,87.5109,93.4722,63,38780,0.062,90.4762,1958.0,3661.4,5068.48,0.3711,0.001,0.0016,0.9115,True,18
